[2024-05-15 17:13:51,096: INFO: main: Welcome to our custom log]
[2024-05-15 18:47:22,381: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 18:47:22,381: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 18:47:22,381: INFO: common: created directory at: artifacts]
[2024-05-15 18:47:22,381: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-15 18:47:22,389: INFO: 2256974174: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 18:47:25,826: INFO: 2256974174: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 20:19:05,445: INFO: main: >>>>>> stage Data ingestion stage started <<<<<<]
[2024-05-15 20:19:05,453: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 20:19:05,453: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 20:19:05,453: INFO: common: created directory at: artifacts]
[2024-05-15 20:19:05,453: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-15 20:19:05,453: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 20:19:10,078: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 20:19:10,879: INFO: main: >>>>>> stage Data ingestion stage completed <<<<<<]
